year,IdealPointFP,ccode
2016,-0.4065995,165
2017,-0.4311916,165
2018,-0.2922781,165
2019,-0.3647367,165
2020,-0.03512475,165
2021,-0.07581541,165
2022,0.05713198,165
2023,0.02160683,165
2024,0.1244298,165
1995,2.198106,200
1996,2.08148,200
1997,1.940893,200
1998,1.6496,200
1999,1.655686,200
2000,1.652436,200
2001,1.62455,200
2002,1.639335,200
2003,1.584826,200
2004,1.479824,200
2005,1.561121,200
2006,1.454879,200
2007,1.549377,200
2008,1.486647,200
2009,1.433932,200
2010,1.602302,200
2011,1.489861,200
2012,1.522607,200
2013,1.553642,200
2014,1.590625,200
2015,1.605747,200
2016,1.611238,200
2017,1.593572,200
2018,1.577797,200
2019,1.592454,200
2020,1.632245,200
2021,1.840678,200
2022,1.500561,200
2023,1.624617,200
2024,1.555942,200
1995,1.076256,205
1996,1.023893,205
1997,1.100177,205
1998,0.9567469,205
1999,0.8521462,205
2000,0.8122644,205
2001,0.8613194,205
2002,0.8154998,205
2003,0.8043215,205
2004,0.8255821,205
2005,0.7901744,205
2006,0.7881028,205
2007,0.7712264,205
2008,0.678489,205
2009,0.774727,205
2010,0.7171125,205
2011,0.7962436,205
2012,0.7026756,205
2013,0.716861,205
2014,0.8289652,205
2015,0.6708398,205
2016,0.7125952,205
2017,0.7271184,205
2018,0.66325,205
2019,0.775018,205
2020,0.6951766,205
2021,0.691769,205
2022,0.7538108,205
2023,0.6601067,205
2024,0.6953126,205
1995,1.643737,210
1996,1.611232,210
1997,1.507702,210
1998,1.232468,210
1999,1.249934,210
2000,1.209504,210
2001,1.163087,210
2002,1.146724,210
2003,1.070139,210
2004,0.9341555,210
2005,0.9926859,210
2006,0.9328919,210
2007,0.9938403,210
2008,1.010556,210
2009,1.070163,210
2010,1.053269,210
2011,1.045537,210
2012,0.9519334,210
2013,0.9643978,210
2014,0.9967013,210
2015,1.043969,210
2016,1.019733,210
2017,0.979489,210
2018,1.062332,210
2019,1.024068,210
2020,1.153684,210
2021,1.089865,210
2022,1.078508,210
2023,0.9490323,210
2024,1.021471,210
1995,1.557568,211
1996,1.548618,211
1997,1.428211,211
1998,1.226333,211
1999,1.186,211
2000,1.171685,211
2001,1.123701,211
2002,1.102949,211
2003,1.118588,211
2004,0.9863718,211
2005,1.019119,211
2006,0.9859072,211
2007,0.9466405,211
2008,0.9441381,211
2009,1.025223,211
2010,0.9852946,211
2011,1.027462,211
2012,0.9757599,211
2013,0.9606653,211
2014,0.998341,211
2015,1.02801,211
2016,1.052185,211
2017,0.9990694,211
2018,1.006504,211
2019,1.029237,211
2020,1.070524,211
2021,1.03469,211
2022,0.964589,211
2023,0.9675986,211
2024,0.9500878,211
1995,1.618096,212
1996,1.54765,212
1997,1.491132,212
1998,1.226854,212
1999,1.187065,212
2000,1.174565,212
2001,1.118009,212
2002,1.065826,212
2003,1.082602,212
2004,0.935326,212
2005,0.9660636,212
2006,0.948953,212
2007,0.9556728,212
2008,0.9162811,212
2009,0.8982751,212
2010,0.8323999,212
2011,0.8675212,212
2012,0.849084,212
2013,0.913206,212
2014,0.8808065,212
2015,0.9654566,212
2016,0.9678792,212
2017,1.035513,212
2018,0.9290154,212
2019,1.022249,212
2020,0.9548518,212
2021,1.071211,212
2022,0.9253228,212
2023,0.9954513,212
2024,0.9634175,212
1995,1.80222,220
1996,1.837001,220
1997,1.727429,220
1998,1.516506,220
1999,1.487945,220
2000,1.393805,220
2001,1.445289,220
2002,1.465721,220
2003,1.4091,220
2004,1.341845,220
2005,1.420571,220
2006,1.406573,220
2007,1.488003,220
2008,1.375503,220
2009,1.306522,220
2010,1.289891,220
2011,1.278045,220
2012,1.367886,220
2013,1.354641,220
